,CIE_SA_Dedicated,CIE_SA_Flexible,CIE_SA_MSSA,CIE_SA_MSSA_Adaptive,CIE_SA_MSSA_Inner,Flexible_Dedicated,MSSA_Adaptive_Dedicated,MSSA_Adaptive_Flexible,MSSA_Dedicated,MSSA_Flexible,MSSA_Inner_Dedicated,MSSA_Inner_Flexible,MSSA_Inner_MSSA_Adaptive,MSSA_MSSA_Adaptive,MSSA_MSSA_Inner
87,-38.23279228415483,-55.91774941620271,0.0,-0.219256850674488,0.0,11.342491280348153,-37.93037049767798,-55.57663698157164,-38.23279228415483,-55.91774941620271,-38.23279228415483,-55.91774941620271,-0.219256850674488,-0.219256850674488,0.0
88,-76.25805583178911,-67.69385446959443,-0.5376726344720539,-1.5613976752104866,-0.43248130767892295,-5.107045448554294,-73.54827706827719,-65.11574112624271,-75.31543272601506,-66.797032470887,-75.49905522279741,-66.97173293554064,-1.1240550395972826,-1.0182501881264168,0.1046287665476188
89,-99.60583703174225,-113.35878324526638,6.106787866781068,-2.341555288221957,5.799691135312998,6.445924561593716,-95.03889350674547,-108.47717493093533,-112.58814401677365,-127.23557794843099,-111.8950982617943,-126.49478097969218,-8.642483789760561,-8.99782099585242,-0.3270702157173508
90,-110.14663101691778,-5.867056419776493,1.966880561664999e-13,-1.205292901321414,0.0,-98.50049498274457,-107.64391366548176,-4.606244777138738,-110.14663101691819,-5.867056419776701,-110.14663101691778,-5.867056419776493,-1.205292901321414,-1.205292901321613,-1.966880561665003e-13
91,-114.58478913525092,-13.173363113604628,-1.2438574904415245,1.1524295263532853,-1.068961578708635,-89.60715068602177,-117.08655873586731,-14.492812085631632,-111.94845243377847,-11.782942608927534,-112.31522099704222,-11.976378648621566,2.197896436614703,2.366846815394252,0.1727471829581381
92,-197.34879302646866,-79.63510459500183,11.173772728634933,10.500190255763654,1.1015705238963565,-65.52933442316825,-232.23399454837104,-100.71004073455035,-234.75337426868862,-102.23205478063892,-200.6607835954722,-81.63595271086304,9.5033053423141,-0.7583148508756035,-11.339220987026602
93,-55.30942474768867,-50.67406472647277,0.0,2.0508683204393282e-08,0.0,-3.076415327104058,-55.309424779540585,-50.67406475737404,-55.30942474768867,-50.67406472647277,-55.30942474768867,-50.67406472647277,2.0508683204393282e-08,2.0508683204393282e-08,0.0
94,-210.7772019564522,-13.431880433553689,6.815218966890483,8.984728117254948,6.815218966890341,-173.97694613596724,-241.45610459399208,-24.629502375917692,-233.5063929012505,-21.72790360826214,-233.50639290124997,-21.72790360826195,2.3281796944865425,2.3281796944863937,-1.523628440655448e-13
95,-43.995654786268105,-8.205213995756754,1.0036948129908332,1.8929663011513296,0.0,-33.076447491629075,-46.77403786183168,-10.293023768209792,-45.45558494759258,-9.30227526305298,-43.995654786268105,-8.205213995756754,1.8929663011513296,0.8982875537431587,-1.013870983462263
96,-123.02308171117659,6.326398408931712,6.326398408894455,6.326398405245186,6.326398408894455,-138.08530677061282,-138.08530676124298,3.935501284945345e-09,-138.08530677051814,3.9771719192660374e-11,-138.08530677051814,3.9771719192660374e-11,-3.895729565906001e-09,-3.895729565906001e-09,0.0
97,-38.283181761870374,-16.750281387180962,0.0,-4.134567982012767,0.0,-18.443553299267418,-32.79277423588689,-12.114818018304273,-38.283181761870374,-16.750281387180962,-38.283181761870374,-16.750281387180962,-4.134567982012767,-4.134567982012767,0.0
