case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0011,3227.19792199134,1042867.63660163,87666.3657137151,25201.2708879182,800000,130000,"[[2], [5, 10], [8, 9], [1, 7], [3, 4], [6]]","[[13], [12, 8], [11, 16], [4, 26], [40, 16], [12]]","[[0.09992893618112757], [0.09458009332406367, 0.023997790332334856], [0.07359711242704946, 0.14328499533679995], [0.0341711627273182, 0.048091606570457815], [0.02253716916790836, 0.14400210167587077], [0.03543281274746326]]","[2, 1, 1, 1, 2, 1]",-73446.6903200597,-6.5793915341563,6,8,1.33333333333333,1.625,16.25,158
Case: 0012,424081.834886074,144480.430560165,31381.894572206,10098.5359879596,90000,13000,"[[13, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20]]","[[9, 3], [7, 4, 3, 12, 6, 1, 7, 3, 2, 2, 5, 4, 9, 1, 3, 2, 20, 4]]","[[0.0573763751887891, 0.012920397388968633], [0.007669812838636148, 0.011552091710575292, 0.01785953846389476, 0.15858806542235485, 0.01768074252500008, 0.02392881935692543, 0.038455715214967975, 0.012005817178115028, 0.03036629475893324, 0.009071569895972692, 0.040657657872580355, 0.022103470483836797, 0.07682857711521751, 0.00629360294983734, 0.011518561998290535, 0.012072189285576154, 0.043324805495975206, 0.014928201425366555]]","[2, 7]",4517.95519545613,3.22797605835663,2,9,4.5,14.4444444444444,72.2222222222222,107
Case: 0013,8890.32991504669,611169.01251547,70262.918917855,24906.093597615,500000,16000,"[[1], [4, 5, 9], [2, 3, 6, 7, 8, 10]]","[[11], [11, 47, 3], [3, 6, 6, 4, 7, 7]]","[[0.05007154909759332], [0.08918058716047955, 0.45579372541484914, 0.004431413061016445], [0.012709358628644587, 0.061128043175181, 0.005623689339989173, 0.019450837900999694, 0.03206011935841324, 0.051140887288619534]]","[1, 3, 1]",13076.1079591183,2.18630046594814,3,5,1.66666666666667,3.2,32,105
Case: 0014,42594.4797739982,131043.026949433,27966.6403475397,9076.38660189341,70000,24000,"[[9, 14, 18], [2, 7], [10, 11, 12], [8, 17], [1, 3, 13, 15, 19, 20], [4, 5, 6, 16]]","[[3, 2, 2], [3, 5], [2, 1, 8], [6, 1], [2, 1, 2, 2, 1, 1], [3, 3, 3, 4]]","[[0.026218342059420197, 0.010840637930360587, 0.0191125698912497], [0.006515551713184092, 0.01775493405742954], [0.013640272804849148, 0.012761884410082665, 0.01846331091171402], [0.044130332311013445, 0.022492618489642638], [0.012260734853038293, 0.011623330124136919, 0.005117538074340608, 0.015852456780482548, 0.029479570924770517, 0.0005471679302677243], [0.03807637433420199, 0.018620583033879, 0.016062407982959066, 0.025572246291432687]]","[1, 1, 1, 1, 1, 2]",-14819.7716262996,-10.1600762984162,6,7,1.16666666666667,3.42857142857143,17.1428571428571,55
Case: 0015,2559.52384495735,85454.3116365189,16684.5023287194,5769.80930779948,50000,13000,"[[4, 5, 6], [3, 8], [2, 7], [1, 9, 10]]","[[3, 3, 2], [2, 5], [3, 5], [4, 2, 2]]","[[0.019806877771415893, 0.010863869047579957, 0.021986083961196962], [0.02594463024055214, 0.045684883166615176], [0.006515551713184092, 0.01775493405742954], [0.02292570109273526, 0.03258117431447402, 0.02805561623641986]]","[2, 1, 1, 1]",-91671.3985695549,-51.7549928030783,4,5,1.25,2.6,26,31
Case: 0016,146724.045212984,1116697.53695826,54200.0007108984,15497.5362473673,1000000,47000,"[[1, 5, 10, 14, 16, 18, 19], [4, 7, 11, 15], [2, 6, 9, 12, 17], [3, 8, 13, 20]]","[[2, 5, 4, 2, 2, 2, 1], [8, 11, 8, 7], [13, 4, 3, 5, 8], [9, 4, 16, 7]]","[[0.0037809655684539643, 0.05996626571123613, 0.014113506860914332, 0.006763019807291263, 0.0251244840851031, 0.03491332509064687, 0.007254747364429596], [0.036916854554557045, 0.009993528582310458, 0.05004501791812077, 0.03895316966029695], [0.02391820230647425, 0.034796806717826305, 0.018478895264273095, 0.018809563604434792, 0.029177273278451137], [0.0067353795050119035, 0.06215033384743271, 0.015541363217960805, 0.038707980884424356]]","[1, 3, 4, 2]",-31563.6663323037,-2.74882284987525,4,10,2.5,4.7,23.5,121
Case: 0017,11428.3080728054,460493.198339137,30491.4036198197,10001.7947193176,400000,20000,"[[4, 6, 7], [1, 2, 3, 5, 8, 9, 10]]","[[9, 37, 3], [2, 4, 7, 6, 4, 18, 11]]","[[0.01333706630192764, 0.0392012352751429, 0.01594392311121604], [0.014459344435798289, 0.07490350165748413, 0.012025637007209196, 0.05911830463616187, 0.015663589176465733, 0.07431665511061399, 0.12070896566562431]]","[2, 2]",3014.32990767661,0.658900359269428,2,4,2,5,50,101
Case: 0018,33138.6279180049,95789.2872588035,11276.9671756114,4512.32008319201,60000,20000,"[[2, 6, 8, 13, 18], [3, 11, 15], [9, 14], [5, 7, 10], [1, 17, 19, 20], [4, 12, 16]]","[[2, 0, 1, 2, 3], [5, 3, 2], [2, 7], [5, 2, 2], [0, 3, 2, 1], [2, 3, 4]]","[[0.021141469759584676, 0.04307314344901267, 0.016440779835985367, 0.011477919907913683, 0.007483119173552134], [0.008307122485697803, 0.011303526788328572, 0.012384680386290552], [0.013803673990717642, 0.007364521551685483], [0.009331185570282423, 0.0232237172815316, 0.008448471784292396], [0.03903650791006361, 0.007177681616130737, 0.010161076993855198, 0.018716686467461694], [0.025726311130971027, 0.018276123615701394, 0.017217042766623357]]","[1, 1, 1, 1, 1, 1]",-5560.4812417774,-5.48642717594913,6,6,1,3.33333333333333,16.6666666666667,51
Case: 0019,15408.8500611782,142770.271565723,18094.2524952379,4676.01907048536,100000,20000,"[[5], [2, 3, 7], [6, 8, 9], [10], [1, 4]]","[[17], [1, 1, 1], [5, 11, 9], [5], [7, 9]]","[[0.01690753333317746], [0.0025759728300808775, 0.01855785254949012, 0.013074316792964401], [0.013337477586991393, 0.01327966840254435, 0.029024427702425876], [0.020576348527152233], [0.008083559350529792, 0.030397384896695967]]","[3, 1, 3, 1, 2]",-9781.11009171232,-6.41168240198339,5,10,2,2,20,66
Case: 0020,72225.6208589077,892598.167234626,41661.8765580021,10936.2906766247,800000,40000,"[[1, 6, 9, 10, 12, 14, 15, 17, 19, 20], [2, 3, 7], [5, 11, 16], [4, 8, 13, 18]]","[[3, 4, 3, 2, 2, 1, 3, 4, 1, 3], [8, 72, 9], [5, 2, 7], [2, 7, 7, 9]]","[[0.02162491264204019, 0.008830510881557495, 0.05209612364537673, 0.007290910470151291, 0.01291405554463713, 0.017136840856064477, 0.01902977623135358, 0.018397405187023416, 0.02510759360254478, 0.02206518745265691], [0.018265939341098943, 0.0739639505330168, 0.020143823143629516], [0.027587717289544116, 0.010553149497941694, 0.024621853598366248], [0.011969273346070996, 0.014574393414919758, 0.021217335741088483, 0.016002920035154362]]","[2, 3, 1, 2]",-105560.849545502,-10.5755543726912,4,8,2,5,25,154
