"algorithm_type","case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP","num_clusters","num_used_servers","avg_num_servers_per_cluster","avg_num_skills_per_server","avg_cross_training_perf","total_stock","Case  ID","n_sku","n_initial_servers","util_rate","cost_hmin","holding_cost_work_load_relation","server_cost","cross_trainnig_cost"
"CIE_SA","Case: 0113",8616.36199998856,114388.642295997,22543.8477983223,7844.79449767471,60000,24000,"[[9, 16], [1, 4, 5, 13], [6, 7, 8, 11, 14, 17, 20], [2, 3, 19], [10, 12, 15, 18]]","[[4, 6], [2, 3, 2, 1], [2, 3, 1, 1, 1, 0, 2], [2, 2, 4], [4, 2, 3, 1]]","[[0.013890775149191223, 0.028363658992493594], [0.015492979507024301, 0.003218195555287274, 0.01823094231879161, 0.02921540967638193], [0.001456070854497338, 0.0019518745256197122, 0.013708928811862916, 0.0034752253472466327, 0.01065797221556801, 0.015922089966510067, 0.005494347772795013], [0.02129176509697734, 0.018348211849790054, 0.009178115876673339], [0.03200015231612109, 0.01669644357009388, 0.026814146803573503, 0.02485682984707636]]","[1, 1, 1, 1, 2]",1517.96231360571,1.34486858220622,5,6,1.2,4,20,46,113,20,5,0.65,1,"IND",10,0.1
"CIE_SA","Case: 0114",2791.03199982643,162934.57551491,34912.3083490536,10022.2671658561,100000,18000,"[[8, 10], [6], [5, 9], [2, 4], [1, 3], [7]]","[[7, 14], [6], [6, 2], [3, 3], [8, 9], [5]]","[[0.02337690341359242, 0.008200512465517104], [0.022642664932690383], [0.002854563724923937, 0.0071840677127026605], [0.024117229105015847, 0.03731966820814505], [0.04183766019773577, 0.06426799671869896], [0.01789640785387107]]","[3, 1, 1, 1, 3, 1]",-2509.89225941375,-1.51706025180449,6,10,1.66666666666667,1.8,18,63,114,10,10,0.65,1,"IND",10,0.1
"CIE_SA","Case: 0115",1274.22600007057,94955.2348680145,16476.4395273629,5478.79534065157,60000,13000,"[[2, 3, 9], [1, 6, 7, 10], [4, 5], [8]]","[[1, 2, 3], [4, 5, 4, 2], [20, 92], [10]]","[[0.003528467568959045, 0.03792369070097211, 0.025015772538933632], [0.001890238541721247, 0.005092754542787384, 0.0048384188742125805, 0.018625136601872046], [0.060729448247190336, 0.8321468093933522], [0.02617548552889785]]","[1, 1, 2, 2]",2147.76434597038,2.31421493753591,4,6,1.5,2.16666666666667,21.6666666666667,143,115,10,5,0.65,100,"IND",10,0.1
"CIE_SA","Case: 0116",5786.54399991035,182896.695797536,38368.152957442,12528.5428400937,100000,32000,"[[1, 3, 18], [9, 10, 14], [6, 15, 19], [2, 13, 20], [5, 11, 17], [4, 7, 8, 12, 16]]","[[3, 4, 8], [5, 5, 4], [1, 2, 4], [1, 4, 3], [4, 3, 2], [2, 4, 2, 1, 3]]","[[0.02189868514874709, 0.027366651369762122, 0.022417049068500575], [0.03257981692438279, 0.04512967936232978, 0.0364690377623554], [0.015364860073756611, 0.0012868282990421247, 0.026547425967601134], [0.02286020674655, 0.026730963701921948, 0.018577527543016996], [0.010220283384031328, 0.00331104118641525, 0.018740666655802263], [0.04012570496339042, 0.020554239402155387, 0.01317190866868415, 0.03452046222834176, 0.002455397140253473]]","[3, 3, 1, 1, 1, 1]",-21551.5214287036,-10.5413105191595,6,10,1.66666666666667,3.2,16,65,116,20,10,0.65,100,"IND",10,0.1
"CIE_SA","Case: 0117",3817.22699999809,112968.686938086,17543.7832936155,5424.90364447038,70000,20000,"[[6, 8, 14, 15, 19, 20], [11, 13, 18], [2, 9, 17], [3, 5, 10, 16], [7], [1], [4, 12]]","[[1, 1, 0, 0, 1, 1], [8, 6, 6], [7, 6, 1], [2, 2, 3, 2], [11], [19], [6, 1]]","[[0.009928085511002419, 0.0036068030359334667, 0.019258520406026967, 0.00873422288779799, 0.019354309256113665, 0.008267429801476838], [0.008559159650608066, 0.010923222662740711, 0.01238238228043012], [0.005665374451756696, 0.020421543063269598, 0.013438485898646848], [0.021993944086162773, 0.009818295048601667, 0.00457589983770592, 0.019145601600050025], [0.008812181651462362], [0.009751417343644476], [0.009211131098950776, 0.004607846106922807]]","[1, 1, 1, 1, 1, 1, 1]",-28540.0844825471,-20.1684207954234,7,7,1,2.85714285714286,14.2857142857143,84,117,20,5,0.8,1,"HPB",10,0.1
"CIE_SA","Case: 0118",2784.76600003242,161279.721105817,24628.9105297125,5650.81057610465,110000,21000,"[[3], [2, 6], [1, 8], [4, 9, 10], [5, 7]]","[[41], [7, 34], [4, 3], [4, 3, 5], [2, 4]]","[[0.023069722128372407], [0.008710843090234302, 0.018877493156725458], [0.01857550831699291, 0.010374406581392409], [0.018355694606725276, 0.023852281123878476, 0.011147501163347076], [0.018295534682802334, 0.027078999935592957]]","[3, 4, 1, 2, 1]",-3978.72140255224,-2.40757527552684,5,11,2.2,1.90909090909091,19.0909090909091,107,118,10,10,0.8,1,"HPB",10,0.1
"CIE_SA","Case: 0119",2095.01200008392,97590.9238634537,18530.6046196522,4060.31924380145,60000,15000,"[[6, 10], [3], [1, 4, 8, 9], [2, 5, 7]]","[[11, 6], [5], [2, 1, 3, 3], [9, 7, 7]]","[[0.027738404796628188, 0.024837460643753237], [0.012841465753027788], [0.02980281171958737, 0.0025578095295308244, 0.013297191670665823, 0.010344850944415814], [0.02319985007988001, 0.025150178273654053, 0.01697029477231843]]","[2, 1, 1, 2]",-4671.33943579966,-4.56799926491923,4,6,1.5,2.5,25,54,119,10,5,0.8,100,"HPB",10,0.1
"CIE_SA","Case: 0120",4133.77800011635,189924.640409374,32884.5420479704,9040.09836140314,120000,28000,"[[14, 19], [8], [6, 9, 18, 20], [10], [2, 3], [5, 13, 15], [16, 17], [1, 4, 7, 11, 12]]","[[3, 3], [22], [3, 1, 2, 1], [8], [16, 4], [10, 2, 4], [7, 7], [1, 1, 5, 1, 2]]","[[0.02682328221521681, 0.01712142310546813], [0.029570582565130062], [0.012819990096267855, 0.023239717825842006, 0.020582071345055637, 0.01976792366676929], [0.028235255997749117], [0.04671203227443722, 0.00890091261644821], [0.028178374760541757, 0.025213210716506663, 0.009102681233582502], [0.025494768760456955, 0.014562989377210348], [0.008846052511109719, 0.01088977358700562, 0.021730698268517937, 0.03401761960499405, 0.010437895220064745]]","[1, 2, 1, 1, 2, 2, 2, 1]",-2002.66543991363,-1.04344998282123,8,12,1.5,2.33333333333333,11.6666666666667,103,120,20,10,0.8,100,"HPB",10,0.1
"CIE_SA","Case: 0121",5907.29099988937,857354.576152752,44501.6070145333,12852.9691382185,600000,200000,"[[6], [2, 5, 15], [13], [10, 12, 20], [1, 3, 4, 7, 8, 9, 11, 17, 18, 19], [14, 16]]","[[9], [4, 5, 6], [25], [3, 5, 1], [1, 1, 0, 1, 2, 1, 2, 4, 2, 1], [6, 6]]","[[0.06380076724522421], [0.007747646091776475, 0.008158472017150621, 0.0008217205479607834], [0.27297934088228964], [0.01223588864743912, 0.06390441921087105, 0.001596864917842462], [0.012144168561591166, 0.011394196637922066, 0.009789600618433812, 0.021582693005643874, 0.013146213237623713, 0.001728066327428283, 0.0040071101440364056, 0.008283928845822037, 0.004200781160233158, 0.0023245446235453365], [0.009153437274636408, 0.007860450993863087]]","[1, 1, 1, 1, 1, 1]",-12927.3185575593,-1.48541738442834,6,6,1,3.33333333333333,16.6666666666667,85,121,20,5,0.8,1,"IND",100,0.1
"CIE_SA","Case: 0122",1739.07899999619,1269080.23112664,133356.468820542,35723.7623060942,900000,200000,"[[4, 6], [2, 3, 10], [8], [5, 7], [1, 9]]","[[13, 12], [51, 12, 7], [27], [19, 23], [14, 17]]","[[0.029113998313209967, 0.09359322061119627], [0.2330310320097305, 0.07950723764076874, 0.060125056969699615], [0.039436261077564795], [0.13579919192282064, 0.18363951179332874], [0.08250190423117262, 0.06220512265441917]]","[1, 3, 1, 2, 2]",588.637273041997,0.046404507203217,5,9,1.8,2.22222222222222,22.2222222222222,195,122,10,10,0.8,1,"IND",100,0.1
"CIE_SA","Case: 0123",908.651000022888,678682.128215149,45136.9617630066,13545.166452142,500000,120000,"[[1, 2, 5], [6, 10], [3, 7, 8], [4, 9]]","[[9, 9, 11], [16, 24], [5, 6, 7], [9, 4]]","[[0.08285372547510925, 0.03593166554169292, 0.055948211320272306], [0.05685058087823579, 0.04440092276068216], [0.04447928458063774, 0.10881776877885158, 0.029114436139069444], [0.08495266482918618, 0.02413135176419328]]","[1, 2, 1, 1]",-22815.0118089414,-3.25233140767443,4,5,1.25,2.4,24,100,123,10,5,0.8,100,"IND",100,0.1
"CIE_SA","Case: 0124",10015.6689999104,1382316.53294201,96753.9638056868,25562.5691363229,1000000,260000,"[[3, 4, 6, 15], [12], [5, 7, 8, 17, 18], [9, 14], [2, 20], [1, 10, 13, 16], [11, 19]]","[[4, 6, 3, 9], [6], [3, 8, 7, 2, 4], [12, 19], [28, 20], [2, 3, 7, 5], [17, 15]]","[[0.01795620741829949, 0.017170997009082763, 0.02517152265208495, 0.008006531646082289], [0.05761800319432479], [0.007084152640447544, 0.05491732758875099, 0.020424570463903634, 0.006850085680190578, 0.01786635104941612], [0.08026452006496876, 0.12640719653443577], [0.13942603235132464, 0.07353649336785206], [0.0064448324648805864, 0.00801416440299469, 0.008195928098470277, 0.019378210530488556], [0.1130046698685372, 0.1477201237261846]]","[1, 1, 1, 3, 1, 1, 2]",-326047.049980815,-19.0853430288524,7,10,1.42857142857143,2.6,13,180,124,20,10,0.8,100,"IND",100,0.1
"CIE_SA","Case: 0125",3727.75900006294,745457.059409355,34959.5357667477,10497.523642607,500000,200000,"[[1, 2, 3, 13, 20], [5, 8, 10, 12, 15, 18, 19], [4, 6, 7], [9], [11, 14, 16, 17]]","[[3, 1, 3, 1, 1], [3, 2, 3, 13, 4, 1, 1], [20, 1, 2], [62], [2, 4, 9, 6]]","[[0.02279589451875599, 0.014413872536924348, 0.010043032358557967, 0.015857596765538925, 0.038792421686807646], [0.006668591279506077, 0.012116904599563001, 0.005795911640124152, 0.040754676922774326, 0.0260000457048545, 0.017773622210889163, 0.010570605344332821], [0.05314222921265034, 0.013667621196967182, 0.011784450375686314], [0.023509517310087904], [0.0106454744628125, 0.02712486929198983, 0.02953271225014253, 0.018447658598889683]]","[1, 1, 1, 1, 1]",-73986.4225598616,-9.02886217144149,5,5,1,4,20,142,125,20,5,0.65,1,"HPB",100,0.1
"CIE_SA","Case: 0126",2318.03299999237,1041854.30840224,33090.6976864199,8763.61071581623,800000,200000,"[[3, 7], [1, 2, 5, 8, 9, 10], [4, 6]]","[[42, 12], [12, 7, 2, 12, 2, 2], [20, 9]]","[[0.03360426564290977, 0.006232230009793276], [0.04853446678433334, 0.06761395118479456, 0.015117400783022776, 0.10143722492486934, 0.012801441287640148, 0.016102540516951543], [0.02448180558738627, 0.0075368157444204165]]","[4, 1, 3]",-144108.741904454,-12.1511999777049,3,8,2.66666666666667,2.5,25,120,126,10,10,0.65,1,"HPB",100,0.1
"CIE_SA","Case: 0127",1495.36600017548,571686.665993384,33089.7970886896,8596.86890469471,400000,130000,"[[3, 5, 10], [1, 2, 6], [4, 7, 8, 9]]","[[4, 14, 8], [18, 6, 5], [12, 4, 8, 3]]","[[0.030374890243194702, 0.03274295177697928, 0.018671576290733207], [0.03067366937365095, 0.019593922266243298, 0.0237445300231657], [0.031161205176390993, 0.01162805044981988, 0.07238083661394762, 0.037970519728651245]]","[1, 2, 1]",14148.533673523,2.53767999951005,3,4,1.33333333333333,3.25,32.5,82,127,10,5,0.65,100,"HPB",100,0.1
