case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0077,6719.13699984551,82679.0236494787,14288.8458309765,6390.17781850217,60000,2000,"[[3, 7, 8, 20], [2, 9, 11, 12, 15], [1, 13], [6, 17], [14, 16], [4, 5, 10, 18, 19]]","[[1, 1, 3, 1], [0, 0, 1, 2, 2], [5, 6], [8, 1], [4, 5], [1, 2, 5, 2, 2]]","[[0.017402248497156263, 0.018307341955335676, 0.015336388521531283, 0.020823586849747357], [0.04144603454657933, 0.023580899430451448, 0.01004538662120462, 0.01019627205546635, 0.009384644983680029], [0.015589252297299475, 0.021610053514687207], [0.027263176228100667, 0.02291958854158378], [0.015479836328869668, 0.012292295573807356], [0.015202147569788181, 0.011107242876412227, 0.0102231153567785, 0.009714103591670539, 0.006519485764224613]]","[1, 1, 1, 1, 1, 1]",10289.8016460615,14.2145492951641,6,6,1,3.33333333333333,16.6666666666667,52
Case: 0078,4340.9470000267,108776.349718932,18496.0366624898,6280.31305644207,80000,4000,"[[1, 2, 5, 6, 10], [3, 4, 7, 8, 9]]","[[2, 2, 3, 1, 5], [17, 4, 5, 6, 15]]","[[0.025909887890818536, 0.04037348389254495, 0.01560232843353657, 0.029429924088829863, 0.019428511191030798], [0.03020561552267563, 0.03298121775945392, 0.032865894012226435, 0.018369567372251316, 0.027590260030027146]]","[2, 6]",-2002.62742021034,-1.80776847009065,2,8,4,5,50,60
Case: 0079,4628.55700016022,129091.527970127,22576.9952551653,6514.53271496224,80000,20000,"[[9, 12, 17], [19, 20], [8], [13], [2, 4, 11, 15, 16], [5, 7, 14], [1, 6, 18], [3, 10]]","[[1, 1, 5], [3, 7], [11], [2], [1, 1, 1, 1, 1], [2, 3, 7], [3, 2, 5], [7, 3]]","[[0.021778264521298236, 0.025424947492187298, 0.010852524463997116], [0.0067420147871377276, 0.013630011787927847], [0.015032072350705713], [0.0037636373268972317], [0.020641507762114635, 0.004832104723223898, 0.006069247793828992, 0.003317458148000806, 0.011941004700933474], [0.02007222164585242, 0.02154967703638956, 0.014665370490588586], [0.015421055704649779, 0.005824852402457109, 0.019859023026486938], [0.014422563357445742, 0.01541040109895939]]","[1, 1, 1, 1, 1, 1, 1, 1]",-9538.83380436023,-6.88076816814285,8,8,1,2.5,12.5,67
Case: 0080,1782.56799983978,164064.461002335,23523.4912381703,6540.96976416465,110000,24000,"[[2, 6, 10], [4, 7], [3], [1, 5, 9], [8]]","[[3, 2, 2], [13, 11], [16], [10, 2, 7], [17]]","[[0.021286357763690738, 0.046156061059987055, 0.03446462374111678], [0.02267924374504955, 0.022992894142256685], [0.045414072413718205], [0.037488764448860644, 0.022454588354678676, 0.0215274112619477], [0.03324158072173493]]","[2, 3, 1, 3, 2]",8251.81360859276,5.29598447020814,5,11,2.2,2.18181818181818,21.8181818181818,83
Case: 0081,1883.65299987793,474644.264988648,47914.8720694234,12729.3929192242,400000,14000,"[[1, 3, 5, 9], [2, 7], [4, 6, 8, 10]]","[[3, 7, 6, 6], [64, 3], [1, 9, 5, 6]]","[[0.020996628888964988, 0.06185308192291575, 0.028639893221304395, 0.027246514281552007], [0.07898729780020033, 0.02544458417660954], [0.017167563495652505, 0.024172554693206772, 0.019582214779905276, 0.04362309738450541]]","[2, 1, 1]",12472.5777424203,2.69868927210494,3,4,1.33333333333333,3.5,35,110
Case: 0082,5797.19199991226,944285.315526881,90845.0787105729,25440.2368163079,800000,28000,"[[13], [2, 12, 17], [10, 11], [3, 6, 14, 16], [1, 7, 15, 19, 20], [4, 5, 8, 9, 18]]","[[11], [42, 10, 5], [11, 8], [4, 7, 8, 4], [11, 9, 14, 7, 23], [3, 6, 5, 2, 3]]","[[0.11824590345576025], [0.2695955313078167, 0.005511778789776378, 0.0035646934938207897], [0.01299801399787054, 0.02728118065806373], [0.019782443173982103, 0.02981552253609151, 0.05457896389259997, 0.025168694456868857], [0.01863862032599238, 0.006372768129665484, 0.035555504734408154, 0.039920916397174905, 0.03830597117514727], [0.015179790000329514, 0.0728748622623612, 0.03924337746581036, 0.016619981583557077, 0.050675232542375215]]","[1, 2, 1, 1, 2, 1]",-145512.612994159,-13.3522563390843,6,8,1.33333333333333,3.5,17.5,193
Case: 0083,961.110000133514,698102.211458925,76416.0623019703,21686.1491569544,500000,100000,"[[3, 5, 8], [2, 7], [1], [9, 10], [4, 6]]","[[10, 12, 5], [8, 29], [32], [12, 16], [36, 4]]","[[0.06855711448223377, 0.08848333307683533, 0.02816185154133855], [0.05352541673910955, 0.009157363460714388], [0.2644840414233782], [0.06687204418396372, 0.09913100102955123], [0.09974916857915805, 0.022425228110159345]]","[1, 1, 1, 1, 1]",-15536.0029336137,-2.17701387345663,5,5,1,2,20,164
Case: 0084,3130.51400017738,1354131.06784389,107023.960386953,27107.1074569368,1000000,220000,"[[1, 7, 10, 14], [15], [6, 8, 17, 19], [2], [11], [5, 13, 20], [12, 18], [3], [4, 9, 16]]","[[5, 15, 3, 8], [7], [3, 13, 3, 6], [30], [87], [6, 11, 5], [11, 71], [26], [4, 4, 3]]","[[0.00843103108211054, 0.14637963814866434, 0.003394663247111257, 0.017500281050459678], [0.002867436235665057], [0.007276413163578511, 0.08380797545936954, 0.04054187087270584, 0.013543419063056793], [0.14677255991367075], [0.016854894125563187], [0.01566070373210986, 0.09440456507224322, 0.033235513425444826], [0.06851690375399558, 0.0746007778416763], [0.0488107513863747], [0.020732637975032213, 0.03424019195955259, 0.020696409516433246]]","[1, 1, 1, 1, 1, 1, 2, 1, 1]",-234582.718156195,-14.7655745310051,9,10,1.11111111111111,2.2,11,321
Case: 0085,5626.67199993134,566120.545322,36011.5443443636,10109.000977636,500000,20000,"[[7, 13], [2, 8, 10], [12, 15, 16, 17], [1, 3, 4, 5, 6, 9, 11, 14, 18], [19, 20]]","[[6, 3], [2, 4, 3], [1, 2, 11, 1], [2, 1, 1, 1, 1, 3, 2, 2, 1], [11, 13]]","[[0.043002085716912344, 0.026099207452402483], [0.015227444295582903, 0.003024588188638006, 0.021088540924924175], [0.00588842194537768, 0.016645739596459475, 0.027007099681485524, 0.01024022975614412], [0.02542515030937553, 0.009837135960859375, 0.0053656662969964455, 0.008346122737079048, 0.004793252184795601, 0.0039268155719705804, 0.002820806419577295, 0.01178628615781167, 0.00013471857778537774], [0.029135892158310434, 0.052638790313990755]]","[1, 1, 1, 1, 1]",-6667.62435561209,-1.16406460687987,5,5,1,4,20,71
Case: 0086,1469.27100014687,887186.313439088,47491.8435501698,12694.469888918,800000,27000,"[[3, 5], [6, 7, 10], [1, 2, 4, 8, 9]]","[[17, 5], [30, 9, 18], [4, 7, 4, 8, 5]]","[[0.04350382863389504, 0.016803944091678534], [0.021860701313825805, 0.01951732867260455, 0.11228495336946187], [0.0025945405722480803, 0.048540473792977545, 0.030799973945174947, 0.02764608143422746, 0.05615544922911477]]","[1, 5, 2]",-91710.5105386339,-9.36876168072245,3,8,2.66666666666667,3.375,33.75,107
