algorithm_type,case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock,Case  ID,n_sku,n_initial_servers,util_rate,cost_hmin,holding_cost_work_load_relation,server_cost,cross_trainnig_cost
CIE_SA,Case: 0014,6107.61400008202,136124.934664309,25751.3767803733,7373.55788393545,80000,23000,-9737.86391142409,-6.67604351932692,7,8,1.14285714285714,2.875,14.375,51,14,20,5,0.8,100,IND,10,0.1
CIE_SA,Case: 0015,48070.6849999428,181559.058731602,30918.4923349505,7640.56639665138,120000,23000,4433.34852552804,2.50293902583094,5,12,2.4,1.91666666666667,19.1666666666667,121,15,10,10,0.8,100,IND,10,0.1
CIE_SA,Case: 0016,11909.5509998798,1121570.74551645,62783.3173974944,17787.4281189585,1000000,41000,-26690.4577741167,-2.32442389393893,5,10,2,4.1,20.5,159,16,20,10,0.8,100,IND,100,0.01
CIE_SA,Case: 0017,1732.9240000248,452394.421052352,31159.6603615991,7234.76069075247,400000,14000,-5084.44737910928,-1.11140595335958,3,4,1.33333333333333,3.5,35,154,17,10,5,0.65,1,HPB,100,0.01
CIE_SA,Case: 0018,2776.01200008392,98407.4350393166,13078.2400984831,5329.19494083346,60000,20000,-2942.33346126434,-2.90314768824309,6,6,1,3.33333333333333,16.6666666666667,61,18,20,5,0.65,1,HPB,10,0.1
CIE_SA,Case: 0019,2177.79099988937,142770.271565723,18094.2524952379,4676.01907048537,100000,20000,-9781.11009171233,-6.4116824019834,5,10,2,2,20,66,19,10,10,0.65,1,HPB,10,0.1
CIE_SA,Case: 0020,3400.92299985886,910227.521130044,70509.5259156509,17717.9952143932,800000,22000,-87931.4956500853,-8.809367462685,7,8,1.14285714285714,2.75,13.75,214,20,20,10,0.65,1,HPB,100,0.01
CIE_SA,Case: 0021,2470.47900009155,73042.6530484327,15566.1840011718,5876.46904726085,50000,1600,4477.89535382473,6.53089940719922,3,5,1.66666666666667,3.2,32,69,21,10,5,0.8,1,HPB,10,0.01
CIE_SA,Case: 0022,9032.5640001297,836357.76612221,26898.7585447834,9459.00757742665,600000,200000,-73114.7900646065,-8.03925193423735,6,6,1,3.33333333333333,16.6666666666667,110,22,20,5,0.8,1,HPB,100,0.1
CIE_SA,Case: 0023,806.069000005722,1135294.80179175,65989.7657160892,19305.0360756564,900000,150000,-52416.9989642412,-4.41327592526044,6,9,1.5,1.66666666666667,16.6666666666667,307,23,10,10,0.8,1,HPB,100,0.1
CIE_SA,Case: 0024,8831.62399983406,145453.760227059,22981.1895074904,7372.57071956846,110000,5100,5772.9368371758,4.13294874491263,5,11,2.2,4.63636363636364,23.1818181818182,103,24,20,10,0.8,1,HPB,10,0.01
CIE_SA,Case: 0025,883.792000055313,83746.5247208499,10093.9488972855,3652.57582356445,60000,10000,3403.56025811365,4.23628911488852,6,6,1,1.66666666666667,16.6666666666667,43,25,10,5,0.65,100,HPB,10,0.1
CIE_SA,Case: 0026,5825.3630001545,548604.631170849,22827.7419244855,5776.88924636324,500000,20000,-12877.5443434758,-2.2934912104164,5,5,1,4,20,84,26,20,5,0.65,100,HPB,100,0.01
