case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0021,934.390058040619,73042.6530484327,15566.1840011718,5876.46904726085,50000,1600,"[[3, 4, 9, 10], [1, 2, 7, 8], [5, 6]]","[[0, 14, 9, 5], [6, 2, 6, 2], [11, 14]]","[[0.05713171298820339, 0.021330722227690203, 0.03823220471913233, 0.09367993901833312], [0.05050645665963845, 0.037069884798380914, 0.02563354315988145, 0.04573032601566238], [0.0312777019087634, 0.02179123672293852]]","[2, 1, 2]",4477.89535382473,6.53089940719922,3,5,1.66666666666667,3.2,32,69
Case: 0022,8502.57882905006,836855.961672661,27395.1734691191,9460.78820354156,600000,200000,"[[1], [6, 8, 16, 19], [5, 9, 11, 18], [7, 17], [2, 12, 13, 15, 20], [3, 4, 10, 14]]","[[48], [1, 1, 7, 4], [6, 4, 2, 1], [10, 6], [3, 1, 2, 1, 2], [5, 4, 1, 2]]","[[0.030048411835422985], [0.040596358282188966, 0.044336774472062614, 0.020221881216947804, 0.02212449287867046], [0.02266690976140777, 0.01655715899666197, 0.01498779113943112, 0.016668102434031776], [0.09540909880175164, 0.011096208585752443], [0.016527731544056793, 0.010444992905826194, 0.018471327340189914, 0.03954230341156743, 0.024637971628258374], [0.06657567861969567, 0.017664518561906577, 0.0030498000157473493, 0.03093877758594436]]","[1, 1, 1, 1, 1, 1]",-72616.5945141559,-7.9844734203546,6,6,1,3.33333333333333,16.6666666666667,111
Case: 0023,439.436629056931,1135294.80179175,65989.7657160892,19305.0360756564,900000,150000,"[[1], [10], [2, 5], [7], [4, 8, 9], [3, 6]]","[[19], [73], [4, 91], [69], [10, 1, 7], [21, 12]]","[[0.06501306279586186], [0.2933925467204552], [0.059297471992706685, 0.255437910906161], [0.34426906974358934], [0.07777096663717073, 0.08117042919048674, 0.09372737262459503], [0.12700595245123975, 0.3268987753739298]]","[2, 1, 3, 1, 1, 1]",-52416.9989642412,-4.41327592526044,6,9,1.5,1.66666666666667,16.6666666666667,307
Case: 0024,163452.041195869,151580.199060653,18371.6773519308,8508.52170872229,110000,14700,"[[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [5], [6]]","[[6, 2, 12, 7, 8, 5, 3, 3, 5, 9, 3, 7, 6, 7, 2, 10, 2, 3], [11], [22]]","[[0.01909483843908117, 0.09059085020564689, 0.036800469403049874, 0.01960619404958812, 0.017139212462257428, 0.01022887423898837, 0.014692552386004507, 0.05379477116976478, 0.016306624043565632, 0.05571969856465721, 0.010839830163281014, 0.08797709790379184, 0.009686873405120222, 0.137074125896185, 0.004235493085422138, 0.055939487300455545, 0.015597089387447824, 0.022644979252914137], [0.006595927549667091], [0.024553768822426623]]","[8, 2, 1]",11899.37567077,8.5189758923141,3,11,3.66666666666667,13.3636363636364,66.8181818181818,133
Case: 0025,404.600131988525,82532.7972833839,14557.7042042834,4975.09307910048,50000,13000,"[[6, 7], [1, 2, 10], [3, 4, 8], [5, 9]]","[[8, 3], [4, 26, 4], [0, 4, 3], [10, 3]]","[[0.022368622411786835, 0.014322284629885286], [0.01902566319932575, 0.10903195885476104, 0.01156182167996255], [0.07435464922812604, 0.025125365432476815, 0.018206099780936177], [0.02906557597873907, 0.027695130674044728]]","[1, 2, 1, 1]",2189.8328206476,2.7256061999844,4,5,1.25,2.6,26,65
Case: 0026,4205.65199899674,495926.790471232,28995.5785296681,10931.2119415639,400000,56000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20], [10, 13]]","[[5, 2, 7, 5, 4, 7, 3, 8, 4, 4, 3, 3, 4, 2, 2, 3, 1, 2], [17, 5]]","[[0.06669142102895007, 0.009723595429247197, 0.012167530902946259, 0.03238133773426329, 0.01154224610675188, 0.013493347868794768, 0.009224888523146789, 0.031041871708901013, 0.01603367872179276, 0.01695550864463468, 0.012468044781932013, 0.01827255943287873, 0.017573882416847434, 0.06147604334862883, 0.046697493380005464, 0.01653912923962797, 0.016241681613587966, 0.07433667331699657], [0.05038261783019836, 0.01639999025236183]]","[3, 1]",-65555.3850430925,-11.675416941427,2,4,2,14,70,91
Case: 0027,1260.11487102509,850871.068031434,100677.052369942,24194.0156614912,700000,26000,"[[1, 3, 9, 10], [2, 4, 7, 8], [5, 6]]","[[4, 10, 8, 10], [9, 62, 60, 107], [17, 12]]","[[0.036027261617914294, 0.04123421654256713, 0.08502286409059902, 0.04715147745965313], [0.023557575554000107, 0.051836912755041806, 0.17850916812383558, 0.19812338968997026], [0.04772712109611522, 0.05530865552029251]]","[1, 5, 1]",-120407.712096132,-12.3968230913392,3,7,2.33333333333333,3.71428571428571,37.1428571428571,299
Case: 0028,2398.62794399261,173089.094649301,29499.0520505567,9590.04259874425,110000,24000,"[[15, 17, 18], [1], [3, 5, 10, 16], [12, 13], [6, 7, 8], [9, 19], [2], [11, 14], [4, 20]]","[[1, 3, 4], [9], [1, 0, 0, 0], [19, 7], [4, 3, 6], [9, 4], [7], [5, 5], [9, 3]]","[[0.0031163233349578135, 0.018262734843117738, 0.02963581492714492], [0.01794655890155975], [0.008563105180881858, 0.010034912565724903, 0.024736503386961997, 0.03247062001251888], [0.06037228259139333, 0.019542319269391054], [0.015593434127175754, 0.01994273586531197, 0.026682355264840907], [0.00927881046759764, 0.013163643543010996], [0.015545668657947872], [0.021321439773177374, 0.018784287575963596], [0.017615609396038116, 0.010324689840008672]]","[1, 1, 1, 1, 1, 2, 1, 1, 2]",-17232.5998009128,-9.05445900463056,9,11,1.22222222222222,2.18181818181818,10.9090909090909,99
Case: 0029,630.042624950409,684365.878165435,51409.507956293,12956.3702091419,500000,120000,"[[2, 5, 7, 10], [1, 4, 6], [3, 9], [8]]","[[4, 2, 4, 4], [5, 35, 2], [103, 9], [15]]","[[0.03974629932898596, 0.017775287885151547, 0.022628494312657642, 0.018882919660790413], [0.02650636258304595, 0.15801123177436677, 0.019683702485146955], [0.19768202679619448, 0.022590271142621257], [0.036417629954813555]]","[1, 1, 2, 1]",3109.0784936219,0.456373939330904,4,5,1.25,2.4,24,183
Case: 0030,12937.5784580708,91317.2305982742,16910.9239498506,7006.30664842365,60000,7400,"[[1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20], [4, 10, 19]]","[[3, 2, 2, 2, 6, 8, 3, 1, 2, 14, 9, 1, 3, 3, 1, 5, 6], [7, 3, 8]]","[[0.04277143149696195, 0.021060981523630264, 0.033926081811505485, 0.020828176349995293, 0.013378268950004709, 0.03994819327068801, 0.06013003911054178, 0.02482479318590646, 0.003351910952934034, 0.022606028605558222, 0.10602763845841486, 0.008013362325566075, 0.023964499522267972, 0.007749593971535499, 0.023597573645887934, 0.011788369727035793, 0.01728978570878566], [0.018680812741929228, 0.014995474388114893, 0.015857098384960508]]","[4, 2]",2488.16359461599,2.80106915286358,2,6,3,12.3333333333333,61.6666666666667,89
